Event Number,Call Received,Complaint Number,Shift,Tencode,Tencode Description,Disposition Code,Disposition Description,Block,Street Name,Unit Dispatched,Sector,Zone,Latitude,Longitude,geometry,zipcode,PO
PD201800182260,02/19/2018 07:35:00 AM,20180162173,A,96,Business Check,12,LOCATION/BUILDING SECURE,5000.0,OLD HICKORY BLVD ,525A,H,21,36.193,-86.616,POINT (-86.616 36.193),37076,HERMITAGE
PD201800182508,02/19/2018 09:05:00 AM,20180162387,A,93,Traffic Violation,9,SUBJECT WARNED,0.0,TULIP GROVE RD & BROOKSIDE WOO,523A,H,23,36.201,-86.592,POINT (-86.59200000000001 36.201),37076,HERMITAGE
PD201800182544,02/19/2018 09:28:00 AM,20180162423,A,93,Traffic Violation,9,SUBJECT WARNED,0.0,TULIP GROVE RD & SCOTTS CREEK ,525A,H,23,36.203,-86.592,POINT (-86.59200000000001 36.203),37076,HERMITAGE
PD201800182116,02/19/2018 06:13:00 AM,20180162097,C,42,Intoxicated Person,5,GONE ON ARRIVAL,0.0,AVALON CT & FARMINGHAM WOODS D,522A,H,23,36.183,-86.588,POINT (-86.58799999999999 36.183),37076,HERMITAGE
PD201800181340,02/19/2018 12:16:00 AM,20180161283,C,93,Traffic Violation,9,SUBJECT WARNED,0.0,OLD HICKORY BLVD & JUAREZ DR,5F16,H,21,36.192,-86.616,POINT (-86.616 36.192),37076,HERMITAGE
PD201800182498,02/19/2018 09:03:00 AM,20180162380,A,93,Traffic Violation,9,SUBJECT WARNED,0.0,TULIP GROVE RD & SCOTTS CREEK ,525A,H,23,36.203,-86.592,POINT (-86.59200000000001 36.203),37076,HERMITAGE
PD201800182265,02/19/2018 07:36:00 AM,20180162179,A,93,Traffic Violation,9,SUBJECT WARNED,0.0,JUAREZ DR & LOPEZ LN,525A,H,21,36.192,-86.618,POINT (-86.61799999999999 36.192),37076,HERMITAGE
PD201800182532,02/19/2018 09:20:00 AM,20180162414,A,93,Traffic Violation,9,SUBJECT WARNED,0.0,ASHLEY WAY & TULIP GROVE RD,523A,H,23,36.208,-86.59,POINT (-86.59 36.208),37076,HERMITAGE
PD201800182085,02/19/2018 05:55:00 AM,20180162009,C,15,Community Policing Activity,15,COMMUNITY POLICING,3700.0,BELL RD ,2911,H,33,36.157,-86.619,POINT (-86.619 36.157),37076,HERMITAGE
PD201800182940,02/19/2018 11:33:00 AM,20180162747,A,95,Meal Break,11,DISREGARD / SIGNAL 9,0.0,LEBANON PKE & HICKORY HILL LN,522A,H,21,36.188,-86.629,POINT (-86.62899999999999 36.188),37076,HERMITAGE
PD201800182247,02/19/2018 07:31:00 AM,20180162162,A,96,Business Check,12,LOCATION/BUILDING SECURE,5800.0,OHB ,5F23,H,23,36.169,-86.6,POINT (-86.59999999999999 36.169),37076,HERMITAGE
PD201800181165,02/18/2018 10:54:00 PM,20180161129,B,43,Want Officer for Investigation / Assistance,6,ASSISTED OTHER UNIT,3700.0,JAMES KAY LN ,535C,H,21,36.177,-86.614,POINT (-86.61399999999999 36.177),37076,HERMITAGE
PD201800181069,02/18/2018 10:19:00 PM,20180161069,B,93,Traffic Violation,6,ASSISTED OTHER UNIT,0.0,TULIP GROVE RD & CENTRAL PKE,5F13,H,23,36.172,-86.595,POINT (-86.595 36.172),37076,HERMITAGE
PD201800182105,02/19/2018 06:07:00 AM,20180162028,C,96,Business Check,12,LOCATION/BUILDING SECURE,5000.0,OLD HICKORY BLVD ,521C,H,21,36.194,-86.615,POINT (-86.61499999999999 36.194),37076,HERMITAGE
PD201800181203,02/18/2018 11:19:00 PM,20180161164,,93,Traffic Violation,9,SUBJECT WARNED,3900.0,LEBANON PKE ,5F13,H,21,36.194,-86.623,POINT (-86.62299999999999 36.194),37076,HERMITAGE
PD201800182781,02/19/2018 10:40:00 AM,20180162630,A,87,Safety Hazard,4,ASSISTED CITIZEN,0.0,LEBANON PKE & ANDREW JACKSON P,521A,H,23,36.215,-86.598,POINT (-86.598 36.215),37076,HERMITAGE
PD201800184820,02/19/2018 10:25:00 PM,20180164271,B,40,Suspicious Person,9,SUBJECT WARNED,3700.0,BELL RD ,5F13,H,33,36.157,-86.619,POINT (-86.619 36.157),37076,HERMITAGE
PD201800184692,02/19/2018 09:36:00 PM,20180164187,B,70,Burglary - Residence,12,LOCATION/BUILDING SECURE,1000.0,BROOKSIDE WOODS BLVD ,524B,H,23,36.2,-86.596,POINT (-86.596 36.2),37076,HERMITAGE
PD201800183261,02/19/2018 01:30:00 PM,20180163106,A,45,Vehicle Accident - Property Damage,1,M.P.D. REPORT COMPLED,0.0,OLD HICKORY BLVD & OLD LEBANON,525A,H,21,36.191,-86.615,POINT (-86.61499999999999 36.191),37076,HERMITAGE
PD201800183668,02/19/2018 04:00:00 PM,20180163348,B,43,Want Officer for Investigation / Assistance,10,NO RESPONSE,3800.0,CENTRAL PKE ,524B,H,21,36.174,-86.609,POINT (-86.60899999999999 36.174),37076,HERMITAGE
PD201800184023,02/19/2018 05:44:00 PM,20180163619,B,93,Traffic Violation,9,SUBJECT WARNED,0.0,MM 220 0 I40 E,515B,H,21,36.165,-86.614,POINT (-86.61399999999999 36.165),37076,HERMITAGE
PD201800182999,02/19/2018 11:52:00 AM,20180162966,A,44,Disorderly Person,4,ASSISTED CITIZEN,5700.0,OLD HICKORY BLVD ,523A,H,23,36.172,-86.601,POINT (-86.601 36.172),37076,HERMITAGE
PD201800183436,02/19/2018 02:38:00 PM,20180163169,A,88,Investigate 911 Hang-Up Call,5,GONE ON ARRIVAL,1300.0,TULIP GROVE RD ,521B,H,23,36.175,-86.596,POINT (-86.596 36.175),37076,HERMITAGE
PD201800184827,02/19/2018 10:28:00 PM,20180164277,B,93,Traffic Violation,9,SUBJECT WARNED,0.0,PLANTATION DR & OLD HICKORY BL,5F17,H,21,36.201,-86.621,POINT (-86.62100000000001 36.201),37076,HERMITAGE
PD201800183770,02/19/2018 04:28:00 PM,0,B,70,Burglary - Residence,11,DISREGARD / SIGNAL 9,600.0,S CLUB CT ,,H,25,36.225,-86.6,POINT (-86.59999999999999 36.225),37076,HERMITAGE
PD201800183643,02/19/2018 03:55:00 PM,20180163323,B,96,Business Check,15,COMMUNITY POLICING,4100.0,LEBANON PKE ,521B,H,23,36.201,-86.618,POINT (-86.61799999999999 36.201),37076,HERMITAGE
PD201800184489,02/19/2018 08:24:00 PM,20180164022,B,93,Traffic Violation,9,SUBJECT WARNED,0.0,OLD HICKORY BLVD & LAKE PKWY,521B,H,21,36.165,-86.598,POINT (-86.598 36.165),37076,HERMITAGE
PD201800183710,02/19/2018 04:13:00 PM,20180163830,B,50,Theft,1,M.P.D. REPORT COMPLED,6300.0,N NEW HOPE RD ,522B,H,23,36.19,-86.581,POINT (-86.581 36.19),37076,HERMITAGE
PD201800184795,02/19/2018 10:15:00 PM,0,B,83,Shots Fired,11,DISREGARD / SIGNAL 9,5600.0,OLD HICKORY BLVD ,,H,23,36.182,-86.6,POINT (-86.59999999999999 36.182),37076,HERMITAGE
PD201800184654,02/19/2018 09:24:00 PM,20180164153,B,43,Want Officer for Investigation / Assistance,4,ASSISTED CITIZEN,0.0,ROCKWOOD DR & ROCKWOOD PL,5F36,H,23,36.178,-86.599,POINT (-86.59899999999999 36.178),37076,HERMITAGE
PD201800183759,02/19/2018 04:26:00 PM,20180163413,B,43,Want Officer for Investigation / Assistance,15,COMMUNITY POLICING,0.0,STEWARTS FERRY PKE & GRANNY WR,3F43,S,35,36.128,-86.546,POINT (-86.54600000000001 36.128),37076,HERMITAGE
PD201800183246,02/19/2018 01:24:00 PM,20180163088,A,43,Want Officer for Investigation / Assistance,4,ASSISTED CITIZEN,4200.0,CENTRAL PKE ,523A,H,23,36.174,-86.577,POINT (-86.57700000000001 36.174),37076,HERMITAGE
PD201800184048,02/19/2018 05:52:00 PM,20180163644,B,45,Vehicle Accident - Property Damage,11,DISREGARD / SIGNAL 9,0.0,MM 219 8 I40 E,521B,H,21,36.163,-86.618,POINT (-86.61799999999999 36.163),37076,HERMITAGE
PD201800183556,02/19/2018 03:25:00 PM,20180163239,B,87,Safety Hazard,11,DISREGARD / SIGNAL 9,0.0,RR XING OLD LEBANON DIRT RD,521B,H,21,36.188,-86.608,POINT (-86.60799999999999 36.188),37076,HERMITAGE
PD201800184628,02/19/2018 09:14:00 PM,20180164139,B,93,Traffic Violation,9,SUBJECT WARNED,0.0,OLD HICKORY BLVD & HERMITAGE W,5F32,H,21,36.177,-86.604,POINT (-86.604 36.177),37076,HERMITAGE
PD201800183063,02/19/2018 12:15:00 PM,20180162869,A,43,Want Officer for Investigation / Assistance,4,ASSISTED CITIZEN,4400.0,GINA BROOKE DR ,523A,H,23,36.176,-86.588,POINT (-86.58799999999999 36.176),37076,HERMITAGE
PD201800183103,02/19/2018 12:27:00 PM,20180163245,A,50,Theft,11,DISREGARD / SIGNAL 9,4600.0,LEBANON PKE ,522B,H,25,36.217,-86.595,POINT (-86.595 36.217),37076,HERMITAGE
PD201800183971,02/19/2018 05:30:00 PM,0,B,50,Theft,11,DISREGARD / SIGNAL 9,0.0,JACKSONIAN DR & PLANTATION DR,,H,21,36.201,-86.633,POINT (-86.633 36.201),37076,HERMITAGE
PD201800184283,02/19/2018 07:14:00 PM,20180163828,B,87,Safety Hazard,4,ASSISTED CITIZEN,0.0,CENTRAL PKE & TULIP GROVE RD,522B,H,23,36.172,-86.595,POINT (-86.595 36.172),37076,HERMITAGE
PD201800184422,02/19/2018 08:00:00 PM,20180163957,B,96,Business Check,15,COMMUNITY POLICING,3900.0,BELL RD ,521B,H,21,36.166,-86.608,POINT (-86.60799999999999 36.166),37076,HERMITAGE
PD201800184816,02/19/2018 10:24:00 PM,0,B,83,Shots Fired,11,DISREGARD / SIGNAL 9,5600.0,OLD HICKORY BLVD ,,H,23,36.181,-86.602,POINT (-86.602 36.181),37076,HERMITAGE
PD201800183640,02/19/2018 03:53:00 PM,20180163318,B,43,Want Officer for Investigation / Assistance,4,ASSISTED CITIZEN,4400.0,LEBANON PKE ,522B,H,23,36.214,-86.598,POINT (-86.598 36.214),37076,HERMITAGE
PD201800010155,01/03/2018 06:17:00 PM,20180009026,B,93,Traffic Violation,9,SUBJECT WARNED,5600.0,FRIST BLVD ,2945,H,21,36.176,-86.608,POINT (-86.60799999999999 36.176),37076,HERMITAGE
PD201800183701,02/19/2018 04:10:00 PM,20180163368,B,43,Want Officer for Investigation / Assistance,15,COMMUNITY POLICING,2900.0,HOBSON PKE ,3F43,S,35,36.092,-86.555,POINT (-86.55500000000001 36.092),37076,HERMITAGE
PD201800184259,02/19/2018 07:05:00 PM,20180163906,B,43,Want Officer for Investigation / Assistance,4,ASSISTED CITIZEN,3900.0,BELL RD ,521B,H,21,36.161,-86.609,POINT (-86.60899999999999 36.161),37076,HERMITAGE
PD201800184689,02/19/2018 09:36:00 PM,20180164179,B,93,Traffic Violation,9,SUBJECT WARNED,0.0,ANDREW JACKSON PKWY & OLD HICK,5F36,H,21,36.184,-86.611,POINT (-86.611 36.184),37076,HERMITAGE
PD201800184172,02/19/2018 06:34:00 PM,20180163746,B,43,Want Officer for Investigation / Assistance,5,GONE ON ARRIVAL,3900.0,BELL RD ,3953,H,21,36.166,-86.604,POINT (-86.604 36.166),37076,HERMITAGE
PD201800184808,02/19/2018 10:21:00 PM,0,B,83,Shots Fired,11,DISREGARD / SIGNAL 9,5600.0,OLD HICKORY BLVD ,,H,23,36.181,-86.602,POINT (-86.602 36.181),37076,HERMITAGE
PD201800183441,02/19/2018 02:39:00 PM,20180163133,A,43,Want Officer for Investigation / Assistance,6,ASSISTED OTHER UNIT,500.0,MARGARET ROBERTSON DR ,523B,H,23,36.178,-86.599,POINT (-86.59899999999999 36.178),37076,HERMITAGE
PD201800184073,02/19/2018 05:59:00 PM,20180163659,B,87,Safety Hazard,4,ASSISTED CITIZEN,0.0,CENTRAL PKE & TULIP GROVE RD,522B,H,23,36.172,-86.595,POINT (-86.595 36.172),37076,HERMITAGE
PD201800184767,02/19/2018 10:03:00 PM,20180164241,B,3,Administrative/Special Assignment,4,ASSISTED CITIZEN,3700.0,JAMES KAY LN ,512B,H,21,36.178,-86.616,POINT (-86.616 36.178),37076,HERMITAGE
PD201800184789,02/19/2018 10:13:00 PM,20180164258,B,83,Shots Fired,5,GONE ON ARRIVAL,5600.0,OLD HICKORY BLVD ,533B,H,23,36.177,-86.604,POINT (-86.604 36.177),37076,HERMITAGE
PD201800184478,02/19/2018 08:20:00 PM,20180164012,B,93,Traffic Violation,9,SUBJECT WARNED,0.0,OLD HICKORY BLVD & LAKE PKWY,521B,H,21,36.165,-86.598,POINT (-86.598 36.165),37076,HERMITAGE
PD201800184793,02/19/2018 10:15:00 PM,20180164360,B,45,Vehicle Accident - Property Damage,1,M.P.D. REPORT COMPLED,5400.0,OLD HICKORY BLVD ,521C,H,21,36.183,-86.609,POINT (-86.60899999999999 36.183),37076,HERMITAGE
PD201800184517,02/19/2018 08:35:00 PM,20180164151,B,43,Want Officer for Investigation / Assistance,4,ASSISTED CITIZEN,5200.0,DOVE TRL ,523B,H,23,36.162,-86.582,POINT (-86.58200000000001 36.162),37076,HERMITAGE
PD201800184786,02/19/2018 10:12:00 PM,20180164335,B,87,Safety Hazard,5,GONE ON ARRIVAL,0.0,OLD HICKORY BLVD & ANDREW JACK,521C,H,21,36.184,-86.611,POINT (-86.611 36.184),37076,HERMITAGE
PD201800184451,02/19/2018 08:12:00 PM,20180163983,B,96,Business Check,15,COMMUNITY POLICING,100.0,ARBOR LAKE BLVD ,521B,H,21,36.164,-86.599,POINT (-86.59899999999999 36.164),37076,HERMITAGE
PD201800184492,02/19/2018 08:25:00 PM,20180164033,B,44,Disorderly Person,6,ASSISTED OTHER UNIT,1300.0,TULIP GROVE RD ,524B,H,23,36.175,-86.597,POINT (-86.59700000000001 36.175),37076,HERMITAGE
PD201800184668,02/19/2018 09:29:00 PM,20180164164,B,43,Want Officer for Investigation / Assistance,5,GONE ON ARRIVAL,0.0,OLD HICKORY BLVD & ANDREW JACK,5F32,H,21,36.184,-86.611,POINT (-86.611 36.184),37076,HERMITAGE
PD201800183262,02/19/2018 01:30:00 PM,20180163015,A,83,Shots Fired,6,ASSISTED OTHER UNIT,5900.0,OLD HICKORY BLVD ,510A,H,21,36.166,-86.6,POINT (-86.59999999999999 36.166),37076,HERMITAGE
PD201800183550,02/19/2018 03:23:00 PM,20180163319,B,43,Want Officer for Investigation / Assistance,1,M.P.D. REPORT COMPLED,5900.0,OLD HICKORY BLVD ,521B,H,21,36.166,-86.6,POINT (-86.59999999999999 36.166),37076,HERMITAGE
PD201800183342,02/19/2018 02:03:00 PM,20180163075,A,96,Business Check,15,COMMUNITY POLICING,5800.0,OHB ,5F26,H,23,36.169,-86.6,POINT (-86.59999999999999 36.169),37076,HERMITAGE
PD201800185925,02/20/2018 06:51:00 AM,20180165328,C,3,Administrative/Special Assignment,4,ASSISTED CITIZEN,3700.0,JAMES KAY LN ,721A,H,21,36.178,-86.616,POINT (-86.616 36.178),37076,HERMITAGE
PD201800186123,02/20/2018 07:59:00 AM,20180165507,A,96,Business Check,12,LOCATION/BUILDING SECURE,5800.0,OLD HICKORY BLVD ,5F24,H,23,36.169,-86.6,POINT (-86.59999999999999 36.169),37076,HERMITAGE
PD201800185700,02/20/2018 04:51:00 AM,20180165131,C,16,Transport Prisoner / Suspect,6,ASSISTED OTHER UNIT,5600.0,FRIST BLVD ,521C,H,21,36.176,-86.608,POINT (-86.60799999999999 36.176),37076,HERMITAGE
PD201800185978,02/20/2018 07:14:00 AM,20180165382,A,3,Administrative/Special Assignment,4,ASSISTED CITIZEN,3700.0,JAMES KAY LN ,211A,H,21,36.178,-86.616,POINT (-86.616 36.178),37076,HERMITAGE
PD201800186037,02/20/2018 07:32:00 AM,20180165433,A,87,Safety Hazard,4,ASSISTED CITIZEN,0.0,CENTRAL PKE & DODSON CHAPEL RD,535A,H,21,36.175,-86.614,POINT (-86.61399999999999 36.175),37076,HERMITAGE
PD201800185958,02/20/2018 07:04:00 AM,20180165364,A,71,Burglary - Non-Residence,12,LOCATION/BUILDING SECURE,5000.0,OLD HICKORY BLVD ,522A,H,21,36.195,-86.618,POINT (-86.61799999999999 36.195),37076,HERMITAGE
PD201800186545,02/20/2018 10:11:00 AM,20180166645,A,57,Fight / Assault,14,ASSISTANCE REFUSED,5600.0,FRIST BLVD ,523B,H,21,36.176,-86.608,POINT (-86.60799999999999 36.176),37076,HERMITAGE
PD201800186678,02/20/2018 10:59:00 AM,20180165981,A,93,Traffic Violation,9,SUBJECT WARNED,0.0,TRENTON DR & BATON ROUGE DR,5T72,H,23,36.213,-86.597,POINT (-86.59700000000001 36.213),37076,HERMITAGE
PD201800185970,02/20/2018 07:11:00 AM,20180165374,A,3,Administrative/Special Assignment,4,ASSISTED CITIZEN,3700.0,JAMES KAY LN ,831C,H,21,36.178,-86.616,POINT (-86.616 36.178),37076,HERMITAGE
PD201800184926,02/19/2018 11:21:00 PM,20180164369,,93,Traffic Violation,9,SUBJECT WARNED,0.0,LEBANON PKE & TULIP GROVE RD,523C,H,23,36.215,-86.589,POINT (-86.589 36.215),37076,HERMITAGE
PD201800185693,02/20/2018 04:47:00 AM,20180165120,C,93,Traffic Violation,9,SUBJECT WARNED,0.0,ANDREW JACKSON PKWY & HIGHLAND,525C,H,23,36.207,-86.606,POINT (-86.60600000000001 36.207),37076,HERMITAGE
PD201800185374,02/20/2018 02:19:00 AM,20180164805,C,96,Business Check,12,LOCATION/BUILDING SECURE,0.0,CENTRAL PKE & LEBANON PKE,5F16,H,21,36.187,-86.631,POINT (-86.631 36.187),37076,HERMITAGE
PD201800185075,02/20/2018 12:22:00 AM,20180164529,C,44,Disorderly Person,6,ASSISTED OTHER UNIT,4700.0,ANDREW JACKSON PKWY ,515C,H,25,36.216,-86.597,POINT (-86.59700000000001 36.216),37076,HERMITAGE
PD201800185926,02/20/2018 06:51:00 AM,20180165336,C,46,Vehicle Accident - Personal Injury,1,M.P.D. REPORT COMPLED,0.0,I40 W EXT RAMP & OLD HICKORY B,5T72,H,21,36.171,-86.602,POINT (-86.602 36.171),37076,HERMITAGE
PD201800185914,02/20/2018 06:46:00 AM,20180165311,C,3,Administrative/Special Assignment,11,DISREGARD / SIGNAL 9,3700.0,JAMES KAY LN ,125A,H,21,36.178,-86.616,POINT (-86.616 36.178),37076,HERMITAGE
PD201800185295,02/20/2018 01:57:00 AM,20180164724,C,93,Traffic Violation,9,SUBJECT WARNED,0.0,LEBANON PKE & BONNASPRING DR,5F13,H,21,36.196,-86.622,POINT (-86.62200000000001 36.196),37076,HERMITAGE
PD201800185290,02/20/2018 01:54:00 AM,20180164717,C,43,Want Officer for Investigation / Assistance,4,ASSISTED CITIZEN,0.0,SCOTTS CREEK PKWY & SCOTTS CRE,533C,H,23,36.203,-86.594,POINT (-86.59399999999999 36.203),37076,HERMITAGE
PD201800186649,02/20/2018 10:50:00 AM,20180165954,A,93,Traffic Violation,9,SUBJECT WARNED,0.0,ANDREW JACKSON PKWY & TRENTON ,5T72,H,23,36.214,-86.598,POINT (-86.598 36.214),37076,HERMITAGE
PD201800185606,02/20/2018 04:10:00 AM,20180165033,C,96,Business Check,12,LOCATION/BUILDING SECURE,5000.0,OLD HICKORY BLVD ,511C,H,21,36.195,-86.618,POINT (-86.61799999999999 36.195),37076,HERMITAGE
PD201800186011,02/20/2018 07:25:00 AM,20180165421,A,42,Intoxicated Person,11,DISREGARD / SIGNAL 9,0.0,LEBANON PKE & ANDREW JACKSON P,523A,H,23,36.215,-86.598,POINT (-86.598 36.215),37076,HERMITAGE
PD201800185276,02/20/2018 01:47:00 AM,20180164704,C,93,Traffic Violation,9,SUBJECT WARNED,0.0,LEBANON PKE & ANDREW JACKSON P,5F13,H,25,36.215,-86.598,POINT (-86.598 36.215),37076,HERMITAGE
PD201800186555,02/20/2018 10:16:00 AM,20180165864,A,93,Traffic Violation,9,SUBJECT WARNED,0.0,I40 W & DODSON CHAPEL RD,5193,H,21,36.165,-86.615,POINT (-86.61499999999999 36.165),37076,HERMITAGE
PD201800186386,02/20/2018 09:17:00 AM,20180165725,A,93,Traffic Violation,3,CITATION - TRAFFIC,4100.0,LEBANON PKE ,721A,H,21,36.199,-86.619,POINT (-86.619 36.199),37076,HERMITAGE
PD201800185104,02/20/2018 12:31:00 AM,20180164536,C,93,Traffic Violation,6,ASSISTED OTHER UNIT,0.0,JUAREZ DR & LOPEZ LN,5156,H,21,36.192,-86.618,POINT (-86.61799999999999 36.192),37076,HERMITAGE
PD201800185547,02/20/2018 03:39:00 AM,20180164974,C,96,Business Check,12,LOCATION/BUILDING SECURE,0.0,LEBANON PKE & SHUTE LN,5F13,H,25,36.215,-86.605,POINT (-86.605 36.215),37076,HERMITAGE
PD201800186005,02/20/2018 07:23:00 AM,20180165412,A,45,Vehicle Accident - Property Damage,1,M.P.D. REPORT COMPLED,0.0,LEBANON PKE & TULIP GROVE RD,523A,H,23,36.215,-86.589,POINT (-86.589 36.215),37076,HERMITAGE
PD201800185167,02/20/2018 12:56:00 AM,20180164601,C,93,Traffic Violation,9,SUBJECT WARNED,0.0,LEBANON PKE & SWEDEN DR,5F17,H,23,36.202,-86.617,POINT (-86.617 36.202),37076,HERMITAGE
PD201800186057,02/20/2018 07:38:00 AM,20180165453,A,96,Business Check,15,COMMUNITY POLICING,5800.0,OHB ,5F25,H,23,36.169,-86.6,POINT (-86.59999999999999 36.169),37076,HERMITAGE
PD201800185452,02/20/2018 02:28:00 AM,20180164880,C,96,Business Check,12,LOCATION/BUILDING SECURE,0.0,LEBANON PKE & ANDREW JACKSON P,5F13,H,25,36.215,-86.598,POINT (-86.598 36.215),37076,HERMITAGE
PD201800185892,02/20/2018 06:33:00 AM,20180165302,C,3,Administrative/Special Assignment,4,ASSISTED CITIZEN,3700.0,JAMES KAY LN ,825A,H,21,36.178,-86.616,POINT (-86.616 36.178),37076,HERMITAGE
PD201800185344,02/20/2018 02:17:00 AM,20180164775,C,93,Traffic Violation,9,SUBJECT WARNED,0.0,LEBANON PKE & ANDREW JACKSON P,521C,H,23,36.215,-86.598,POINT (-86.598 36.215),37076,HERMITAGE
PD201800185192,02/20/2018 01:05:00 AM,20180164623,C,93,Traffic Violation,9,SUBJECT WARNED,4400.0,LEBANON PKE ,5F13,H,23,36.214,-86.599,POINT (-86.59899999999999 36.214),37076,HERMITAGE
PD201800185813,02/20/2018 05:53:00 AM,20180165237,C,15,Community Policing Activity,15,COMMUNITY POLICING,3700.0,BELL RD ,2911,H,33,36.157,-86.619,POINT (-86.619 36.157),37076,HERMITAGE
PD201800185244,02/20/2018 01:30:00 AM,20180164673,C,93,Traffic Violation,9,SUBJECT WARNED,0.0,OLD HICKORY BLVD & PLANTATION ,5F12,H,21,36.201,-86.621,POINT (-86.62100000000001 36.201),37076,HERMITAGE
PD201800186739,02/20/2018 11:26:00 AM,20180166042,A,95,Meal Break,11,DISREGARD / SIGNAL 9,4000.0,LEBANON PKE ,522A,H,21,36.197,-86.622,POINT (-86.62200000000001 36.197),37076,HERMITAGE
PD201800186723,02/20/2018 11:18:00 AM,20180166024,A,95,Meal Break,4,ASSISTED CITIZEN,3700.0,JAMES KAY LN ,5T72,H,21,36.178,-86.616,POINT (-86.616 36.178),37076,HERMITAGE
PD201800185765,02/20/2018 05:33:00 AM,20180165190,C,96,Business Check,12,LOCATION/BUILDING SECURE,5500.0,OLD HICKORY BLVD ,523C,H,23,36.182,-86.605,POINT (-86.605 36.182),37076,HERMITAGE
PD201800186289,02/20/2018 08:46:00 AM,20180165642,A,43,Want Officer for Investigation / Assistance,11,DISREGARD / SIGNAL 9,3700.0,JAMES KAY LN ,HAPR,H,21,36.178,-86.616,POINT (-86.616 36.178),37076,HERMITAGE
PD201800186000,02/20/2018 07:22:00 AM,20180165400,A,96,Business Check,4,ASSISTED CITIZEN,5000.0,OLD HICKORY BLVD ,522A,H,21,36.193,-86.616,POINT (-86.616 36.193),37076,HERMITAGE
PD201800185186,02/20/2018 01:02:00 AM,20180164618,C,93,Traffic Violation,6,ASSISTED OTHER UNIT,0.0,SHUTE LN & SAUNDERSVILLE RD,5F16,H,25,36.226,-86.603,POINT (-86.60299999999999 36.226),37076,HERMITAGE
PD201800186326,02/20/2018 08:56:00 AM,20180165782,A,43,Want Officer for Investigation / Assistance,1,M.P.D. REPORT COMPLED,700.0,HIDDEN HILL DR ,TE05,H,23,36.204,-86.585,POINT (-86.58499999999999 36.204),37076,HERMITAGE
PD201800186331,02/20/2018 08:56:00 AM,20180166736,A,50,Theft,11,DISREGARD / SIGNAL 9,5900.0,OLD HICKORY BLVD ,523B,H,21,36.166,-86.6,POINT (-86.59999999999999 36.166),37076,HERMITAGE
PD201800185972,02/20/2018 07:12:00 AM,20180165376,A,3,Administrative/Special Assignment,11,DISREGARD / SIGNAL 9,3700.0,JAMES KAY LN ,321A,H,21,36.178,-86.616,POINT (-86.616 36.178),37076,HERMITAGE
PD201800186698,02/20/2018 11:06:00 AM,20180165995,A,93,Traffic Violation,9,SUBJECT WARNED,4500.0,ANDREW JACKSON PKWY ,5T72,H,23,36.212,-86.599,POINT (-86.59899999999999 36.212),37076,HERMITAGE
PD201800185907,02/20/2018 06:44:00 AM,20180165307,C,3,Administrative/Special Assignment,11,DISREGARD / SIGNAL 9,3700.0,JAMES KAY LN ,531A,H,21,36.178,-86.616,POINT (-86.616 36.178),37076,HERMITAGE
PD201800185957,02/20/2018 07:04:00 AM,20180165362,A,3,Administrative/Special Assignment,4,ASSISTED CITIZEN,3700.0,JAMES KAY LN ,4F71,H,21,36.178,-86.616,POINT (-86.616 36.178),37076,HERMITAGE
PD201800186055,02/20/2018 07:38:00 AM,20180165451,A,96,Business Check,12,LOCATION/BUILDING SECURE,5800.0,OHB ,5F23,H,23,36.169,-86.6,POINT (-86.59999999999999 36.169),37076,HERMITAGE
PD201800186129,02/20/2018 08:00:00 AM,20180165511,A,96,Business Check,15,COMMUNITY POLICING,5800.0,OHB ,5F26,H,23,36.169,-86.6,POINT (-86.59999999999999 36.169),37076,HERMITAGE
PD201800185521,02/20/2018 02:50:00 AM,20180164948,C,96,Business Check,12,LOCATION/BUILDING SECURE,0.0,LEBANON PKE & OLD HICKORY BLVD,5F12,H,21,36.198,-86.62,POINT (-86.62 36.198),37076,HERMITAGE
PD201800185468,02/20/2018 02:30:00 AM,20180164895,C,40,Suspicious Person,6,ASSISTED OTHER UNIT,4400.0,LEBANON PKE ,525C,H,25,36.216,-86.6,POINT (-86.59999999999999 36.216),37076,HERMITAGE
PD201800185185,02/20/2018 01:02:00 AM,20180164617,C,93,Traffic Violation,6,ASSISTED OTHER UNIT,4200.0,LEBANON PKE ,523C,H,23,36.204,-86.615,POINT (-86.61499999999999 36.204),37076,HERMITAGE
PD201800185189,02/20/2018 01:03:00 AM,20180164620,C,96,Business Check,12,LOCATION/BUILDING SECURE,0.0,LEBANON PKE & LADY NASHVILLE D,5F13,H,23,36.216,-86.586,POINT (-86.586 36.216),37076,HERMITAGE
PD201800185247,02/20/2018 01:31:00 AM,20180164676,C,93,Traffic Violation,6,ASSISTED OTHER UNIT,3800.0,BELL RD ,521C,H,21,36.159,-86.615,POINT (-86.61499999999999 36.159),37076,HERMITAGE
PD201800185302,02/20/2018 02:03:00 AM,20180164731,C,40,Suspicious Person,4,ASSISTED CITIZEN,5800.0,OLD HICKORY BLVD ,525C,H,21,36.169,-86.601,POINT (-86.601 36.169),37076,HERMITAGE
PD201800186191,02/20/2018 08:14:00 AM,20180165560,A,3,Administrative/Special Assignment,4,ASSISTED CITIZEN,3700.0,JAMES KAY LN ,5F20,H,21,36.178,-86.616,POINT (-86.616 36.178),37076,HERMITAGE
